##################################################;;;;;;;;;;;;;;x
# Interface;;;;;;;;;;;;;;x
##################################################;;;;;;;;;;;;;;x
submarine_hydrophone_equipment_1;Gruppenhorchgerät (GHG);;;;;;;;;;;;;x
submarine_hydrophone_equipment_2;Kristalldrehbasisgerät (KDB);;;;;;;;;;;;;x
submarine_hydrophone_equipment_3;Balkon Gerät;;;;;;;;;;;;;x
submarine_sonar_equipment;Sonar Equipment;;;;;;;;;;;;;x
submarine_sonar_equipment_desc;Sonar Equipment consisted of two basic elements – a hydrophone and a sonar device. Once the hydrophone picked up the bearing of a surface vessel, the sonar would ping in that direction to determine range. Up to three short pulses may be needed, which when plotted together, enabled the operator to determine the target's speed, range and direction.;;;;;;;;;;;;;x
submarine_sonar_equipment_1;Sondergerat Fur Aktive Schallortung (S-Gerät);;;;;;;;;;;;;x
submarine_sonar_equipment_2;Sonderapparat (SU-Apparat) 'Nibelung';;;;;;;;;;;;;x
submarine_radar_equipment;Radar Equipment;;;;;;;;;;;;;x
submarine_radar_equipment_desc;U-boats radar systems can provide very useful navigation information in a variety of situations. When a vessel is within radar range of land, the navigator can take distances and angular bearings to charted objects and use these to establish arcs of position and lines of position on a chart.;;;;;;;;;;;;;x
submarine_radar_equipment_1;FuMO-29 GEMA;;;;;;;;;;;;;x
submarine_radar_equipment_2;FuMO-30 GEMA;;;;;;;;;;;;;x
submarine_radar_equipment_3;FuMO-61 Hohentwiel;;;;;;;;;;;;;x
submarine_radar_equipment_4;FuMO-391 Lessing;;;;;;;;;;;;;x
submarine_radar_detector_equipment;Radar Detector Equipment;;;;;;;;;;;;;x
submarine_radar_detector_equipment_desc;Since more and more vessels and planes use radar equipment, Radar Detection became very useful at spotting targets or threats at a safe distance. The arms race between the Axis and the Allies made the use of radar a key in the lif or the death of a U-Boat.;;;;;;;;;;;;;x
submarine_radar_detector_equipment_1;FuMB-1 Metox;;;;;;;;;;;;;x
submarine_radar_detector_equipment_2;FuMB-9 Wanze;;;;;;;;;;;;;x
submarine_radar_detector_equipment_3;FuMB-10 Borkum;;;;;;;;;;;;;x
submarine_radar_detector_equipment_4;FuMB-7 Naxos;;;;;;;;;;;;;x
submarine_radar_detector_equipment_5;FuMB-26 Tunis;;;;;;;;;;;;;x
submarine_radar_detector_equipment_6;FuMB-29 Bali;;;;;;;;;;;;;x
submarine_radar_detector_equipment_7;FuMB-35 Athos;;;;;;;;;;;;;x
submarine_antisonar_coating;Anti-Sonar Rubber Coating;;;;;;;;;;;;;x
submarine_antisonar_coating_desc;To reduce the sonar echo of U-boats, the Germans experimented with synthetic rubber which coated the outer hull of the boats. Alberich consisted of synthetic rubber sheets of about 4mm in thickness which had sound absorbing properties.;;;;;;;;;;;;;x
submarine_antisonar_coating_1;Alberich;;;;;;;;;;;;;x
submarine_antiradar_coating;Anti-Radar Schnorkel Coating;;;;;;;;;;;;;x
submarine_antiradar_coating_desc;Anti-Radar Schnorkel Coating was a radar absorbing material used to coat snorkel heads to shield them from allied radar. It consisted of a compound of synthetic rubber and iron oxide and was claimed to have 90 percent effectiveness in reducing radar signature.;;;;;;;;;;;;;x
submarine_antiradar_coating_1;Tarnmatte;;;;;;;;;;;;;x
submarine_advanced_engines;Advanced Engines;;;;;;;;;;;;;x
submarine_advanced_engines_desc;The key improvement in a submarine engine is to increase its battery capacity. This gives these boats enormous underwater range, and dramatically reduced the time spent near the surface. That way they can operate entirely submerged, rather than as surface ships that could submerge as a temporary means to escape detection or launch an attack.;;;;;;;;;;;;;x
submarine_advanced_engines_1;Electro Boat Design;;;;;;;;;;;;;x
submarine_advanced_engines_2;Closed Cycle Engine;;;;;;;;;;;;;x
submarine_sonar_decoys;Sonar Decoys;;;;;;;;;;;;;x
submarine_sonar_decoys_desc;Submerged U-boats employed several devices to evade allied pursuers equipped with sonar. These consisted of decoys which resembled a submerged submarine and noise-makers to blackout the pursuer’s listening device.;;;;;;;;;;;;;x
submarine_sonar_decoys_1;BOLD 1;;;;;;;;;;;;;x
submarine_sonar_decoys_2;BOLD 2;;;;;;;;;;;;;x
submarine_sonar_decoys_3;BOLD 3;;;;;;;;;;;;;x
submarine_sonar_decoys_4;BOLD 4;;;;;;;;;;;;;x
submarine_sonar_decoys_5;BOLD 5;;;;;;;;;;;;;x
submarine_radar_decoys;Radar Decoys;;;;;;;;;;;;;x
submarine_radar_decoys_desc;As allied radar technology advanced, the Germans deployed radar decoys to fool the allies into thinking that a U-boat was present. Radar decoys were deployed either by balloons or floating buoys and were designed to reflect radar waves which could look like a surfaced U-boat.;;;;;;;;;;;;;x
submarine_radar_decoys_1;Aphrodite;;;;;;;;;;;;;x
submarine_radar_decoys_2;Thetis;;;;;;;;;;;;;x
unrestricted_submarine_warfare_doctrine;Wolfpack Doctrine;;;;;;;;;;;;;x
submarine_food_storage;Food Refrigeration;;;;;;;;;;;;;x
submarine_food_storage_desc;Food and supplies are limitations on submergence time for a submarine. Submarines have several storerooms and refrigerated rooms allow the crew to eat better quality food during long deployments;;;;;;;;;;;;;x
submarine_coastal_antiaircraft;Small U-Boat Conning Tower;;;;;;;;;;;;;x
submarine_coastal_antiaircraft_desc;At the start of the war, the standard U-boat antiaircraft armament was a single gun mounted on the main deck, far from the conning tower. Eventually the weapon was relocated to a special platform just aft of the bridge.;;;;;;;;;;;;;x
submarine_mr_antiaircraft;Medium U-Boat Conning Tower;;;;;;;;;;;;;x
submarine_mr_antiaircraft_desc;At the start of the war, the standard U-boat antiaircraft armament was a single gun mounted on the main deck, far from the conning tower. Eventually the weapon was relocated to a special platform just aft of the bridge.;;;;;;;;;;;;;x
submarine_lr_antiaircraft;Large U-Boat Conning Tower;;;;;;;;;;;;;x
submarine_lr_antiaircraft_desc;At the start of the war, the standard U-boat antiaircraft armament was a single gun mounted on the main deck, far from the conning tower. Eventually the weapon was relocated to a special platform just aft of the bridge.;;;;;;;;;;;;;x
high_quality_submarine_construction;High Quality Construction;;;;;;;;;;;;;x
high_quality_submarine_construction_1;Yes;;;;;;;;;;;;;x
uboat_flotilla;Unterseebootsflotille HQ;;;;;;;;;;;;;x
###common;;;;;;;;;;;;;;
submarine_torpedoes;Gas Propelled Torpedoes;Gas Propelled Torpedoes;Gas Propelled Torpedoes;Gas Propelled Torpedoes;;;;;;;;;;x
GER_submarine_torpedoes_0;Pre-war Torpedo;;;;;;;;;;;;;x
GER_submarine_torpedoes_1;Pre-war Torpedo;;;;;;;;;;;;;x
GER_submarine_torpedoes_2;T1 G7;;;;;;;;;;;;;x
GER_submarine_torpedoes_3;T1 G7a;;;;;;;;;;;;;x
GER_submarine_torpedoes_4;T1 G7a (improved pistons);;;;;;;;;;;;;x
GER_submarine_torpedoes_5;T1 G7a FAT I;Torpille III G 7e;Torpedo III G 7e;;Torpedo III G 7e;;;;;;;;;x
GER_submarine_torpedoes_6;T1 G7a LUT I;Torpille IIIa G 7e FAT II;Torpedo IIIa G 7e FAT II;;Torpedo IIIa G 7e FAT II;;;;;;;;;x
#;;;;;;;;;;;;;;x
electric_powered_torpedo;Electric Powered Torpedoes;;;;;;;;;;;;;x
GER_electric_powered_torpedo_0;T2 G7e;;;;;;;;;;;;;x
GER_electric_powered_torpedo_1;T3 G7e;;;;;;;;;;;;;x
GER_electric_powered_torpedo_2;T3 G7e FAT II;;;;;;;;;;;;;x
GER_electric_powered_torpedo_3;T3 G7e LUT II;;;;;;;;;;;;;x
#;;;;;;;;;;;;;;x
acoustic_torpedoes;Acoustic Torpedoes;;;;;;;;;;;;;x
acoustic_torpedoes_desc;As allied escorts gained mastery over their attackers, the Germans had an increasingly urgent need to develop an anti-escort weapon. The acoustic torpedo was based on two hydrophones, placed side by side which directed the torpedo to home in on the target’s noise signature.;;;;;;;;;;;;;x
GER_acoustic_torpedoes_0;T4 G7e 'Falke';;;;;;;;;;;;;x
GER_acoustic_torpedoes_1;T5 G7es 'Zaunkönig';;;;;;;;;;;;;x
GER_acoustic_torpedoes_2;T11 G7es 'Zaunkönig II';;;;;;;;;;;;;x
#;;;;;;;;;;;;;;x
hydrophone_dev;Surface Ship Hydrophone;Hydrophone;Unterwasser-Mikrofon;;;;;;;;;;;x
##################################################;;;;;;;;;;;;;;x
# Operations Tech;;;;;;;;;;;;;;x
##################################################;;;;;;;;;;;;;;x
fall_weiss_operation;Fall Weiß;;;;;;;;;;;;;x
fall_weiss_operation_desc;Fall Weiss was the Nazi strategic plan for the invasion of Poland. The German military High Command finalized its operational orders on 15 June 1939 and the invasion commenced on 1 September, precipitating World War II. Fall Weiss was developed primarily by Günther Blumentritt and Erich von Manstein while the two were serving as staff officers under General Gerd von Rundstedt with Army Group South in Silesia.;;;;;;;;;;;;;x
weserubung_operation;Operation Weserübung;;;;;;;;;;;;;x
weserubung_operation_desc;Operation Weserübung was the code name for Nazi Germany's assault on Denmark and Norway in the early morning of 9 April 1940.\nThe initial invasion force was transported to Norway in several groups by capital ships and escorts of the Kriegsmarine.;;;;;;;;;;;;;x
fall_gelb_operation;Fall Gelb;;;;;;;;;;;;;x
fall_gelb_operation_desc;German invasion of France and the Low Countries, executed from 10 May 1940. The battle consisted of two main operations. In the first, Fall Gelb, German armoured units pushed through the Ardennes, to cut off and surround the Allied units that had advanced into Belgium. In the second operation, Fall Rot, executed from 5 June, German forces outflanked the Maginot Line to attack the larger territory of France.;;;;;;;;;;;;;x
tannenbaum_operation;Operation Tannenbaum;;;;;;;;;;;;;x
tannenbaum_operation_desc;Germany started planning the invasion of Switzerland on 25 June 1940, the day France surrendered. At this point the German Army in France consisted of three army groups with 2 million soldiers in 102 divisions. Switzerland and Liechtenstein were completely surrounded by Occupied France and the Axis Powers, and so Guisan issued Operationsbefehl Nr. 10, a complete overhaul of existing Swiss defensive plans. Hitler never gave the go-ahead.;;;;;;;;;;;;;x
sealion_operation;Operation Seelöwe;;;;;;;;;;;;;x
sealion_operation_desc;Operation Sea Lion was Germany's plan to invade the United Kingdom. With the prospect of the Channel ports falling under Kriegsmarine control and attempting to anticipate the obvious next step that might entail, Grand Admiral Erich Raeder instructed his Operations officer to draw up a document examining 'the possibility of troop landings in England should the future progress of the war make the problem arise.';;;;;;;;;;;;;x
afrika_operation;Afrika Korps;;;;;;;;;;;;;x
afrika_operation_desc;The Deutsches Afrikakorps was the German expeditionary force in Libya and Tunisia during the North African Campaign.\n§WThis technology gives access to several Afrika Korps units (Infantry, Motorized, Mechanized and Armor brigades) designed to fight in North Africa. You can equip existing units with Afrika Korps equipment with the upgrade function.;;;;;;;;;;;;;x
barbarossa_operation;Operation Barbarossa;;;;;;;;;;;;;x
barbarossa_operation_desc;Operation Barbarossa was the code name for Germany's invasion of the Soviet Union that began on 22 June 1941. Over 4.5 million troops of the Axis powers invaded the USSR along a 2,900km front. Planning for Operation Barbarossa started on 18 December 1940, the secret preparations and the military operation itself lasted almost a year, from spring to winter 1941.;;;;;;;;;;;;;x
winter_clothes;Winter Clothes;;;;;;;;;;;;;x
winter_clothes_desc;§RThis technology cancels the §GGeneral Winter§R Strategic Effect. §BThe Russian Winter is a common justification for military failures of invaders in Russia. During Barbarossa, the Wehrmacht lacked necessary supplies, such as winter uniforms, due to the many delays in the German army's movements. Hitler was so confident of a quick victory that he did not prepare for even the possibility of winter warfare in Russia.;;;;;;;;;;;;;x
russian_railways;Russian Railways refit;;;;;;;;;;;;;x
russian_railways_desc;§RThis technology cancels the §GRussian Railways§R Strategic Effect. §BOne of the major logistical problems during Barbarossa was the different railway gauge the Russians had. German trains simply can't use the wide Russian rails. This means we need to refit either the railways or the trains for better transportation of supplies to the front.;;;;;;;;;;;;;x
##################################################;;;;;;;;;;;;;;x
# Elite Tech;;;;;;;;;;;;;;x
##################################################;;;;;;;;;;;;;;x
grossdeutchland_tigers;Großdeutschland Tigers;;;;;;;;;;;;;x
grossdeutchland_tigers_desc;The Großdeutschland division was equipped with a company of Tigers, an unusual addition making Großdeutschland the only Panzergrenadier division to have its own heavy tanks, and the only non-Waffen SS division at that time to have its own Tigers (they were normally deployed in independent heavy tank battalions).;;;;;;;;;;;;;x
grossdeutchland_mech;Panzergrenadier Großdeutschland;;;;;;;;;;;;;x
grossdeutchland_mech_desc;In June 1943, with the addition of armoured personnel carriers and Tigers the division was redesignated Panzergrenadier-Division Großdeutschland, though in reality it now had more armoured vehicles than most full scale panzer divisions.\n§WYou can upgrade the existing Großdeutschland to Panzer-Grenadier.;;;;;;;;;;;;;x
brigade_hermann_goering;Brigade Hermann Göring;;;;;;;;;;;;;x
brigade_hermann_goering_desc;In July 1942 the regiment Hermann Göring was upgraded to brigade status and redesignated Brigade Hermann Göring. It would keep its paradrop speciality while becoming a front unit. In October 1942, while the brigade was still being restructured, it was decided to further upgrade the status of the Hermann Göring to a full division.;;;;;;;;;;;;;x
fallschirmpanzer_hermann_goering;Fallschirm-Panzer-Division Hermann Göring;;;;;;;;;;;;;x
fallschirmpanzer_hermann_goering_desc;The Fallschirm-Panzerkorps Hermann Göring was activated in early October 1944, and the Hermann Göring Panzer division, along with its sister Panzergrenadier division, was transferred to the command of the corps.\n§WYou can upgrade the existing brigades General Göring to Fallschirm-Panzer units which can't paradrop.;;;;;;;;;;;;;x
light_jager_activation;Light Jägers;;;;;;;;;;;;;x
light_jager_activation_desc;Jäger is a term that was adopted in the Enlightenment era in German-speaking states and others influenced by German military practice to describe a kind of light infantry. They were raised to operate in rough terrain, especially in southeastern Europe.;;;;;;;;;;;;;x
luftwaffe_field_activation;Luftwaffe Field Infantry;;;;;;;;;;;;;x
luftwaffe_field_activation_desc;The divisions were originally authorized in October 1942, following suggestions that the German Army, the Heer, could be bolstered by transferring personnel from other services. The head of the Luftwaffe, Hermann Göring, formulated an alternative plan to raise his own infantry formations under the command of Luftwaffe officers.;;;;;;;;;;;;;x
afrika_operation_mot;A.Korps Inf.(mot.);;;;;;;;;;;;;x
afrika_operation_armor;A.Korps Panzer;;;;;;;;;;;;;x
afrika_operation_mech;A.Korps Pz.Gren.;;;;;;;;;;;;;x
#;;;;;;;;;;;;;;x
